benchmark	baseline_best3_ns	candidate_best3_ns	delta_percent	verdict
Map/2/mbo::types::CompareLess<int>/LowerBound/Before	2.453801	2.784403	+13.473	FAIL
Map/2/mbo::types::CompareLess<int>/LowerBound/First	1.116992	1.042450	-6.673	PASS
Map/2/mbo::types::CompareLess<int>/LowerBound/Last	1.107604	1.044705	-5.679	PASS
Map/2/mbo::types::CompareLess<int>/LowerBound/MiddleHit	1.113856	1.044916	-6.189	PASS
Map/2/mbo::types::CompareLess<int>/LowerBound/MiddleMiss	1.122116	0.695478	-38.021	PASS
Map/2/mbo::types::CompareLess<int>/UpperBound/After	1.740698	2.101644	+20.736	FAIL
Map/2/mbo::types::CompareLess<int>/UpperBound/Before	2.454120	3.134169	+27.711	FAIL
Map/2/mbo::types::CompareLess<int>/UpperBound/First	1.060439	0.696417	-34.327	PASS
Map/2/mbo::types::CompareLess<int>/UpperBound/Last	0.712029	1.045851	+46.883	FAIL
Map/2/mbo::types::CompareLess<int>/UpperBound/MiddleHit	0.698369	0.697094	-0.183	PASS
Map/2/mbo::types::CompareLess<int>/UpperBound/MiddleMiss	1.094443	0.697069	-36.308	PASS
Map/2/std::greater<>/IndexOf/After	1.742922	1.738934	-0.229	PASS
Map/2/std::greater<>/IndexOf/Before	2.086504	2.089369	+0.137	FAIL
Map/2/std::greater<>/IndexOf/First	0.700913	0.696960	-0.564	PASS
Map/2/std::greater<>/IndexOf/Last	1.044656	0.695652	-33.408	PASS
Map/2/std::greater<>/IndexOf/MiddleHit	0.750708	1.042825	+38.912	FAIL
Map/2/std::greater<>/IndexOf/MiddleMiss	0.697365	0.695767	-0.229	PASS
Map/2/std::greater<>/LowerBound/After	1.739420	2.435284	+40.006	FAIL
Map/2/std::greater<>/LowerBound/Before	2.472070	2.783619	+12.603	FAIL
Map/2/std::greater<>/LowerBound/First	1.113862	0.695700	-37.542	PASS
Map/2/std::greater<>/LowerBound/Last	1.066009	1.043309	-2.129	PASS
Map/2/std::greater<>/LowerBound/MiddleHit	1.116427	1.043722	-6.512	PASS
Map/2/std::greater<>/LowerBound/MiddleMiss	1.115071	1.044431	-6.335	PASS
Map/2/std::greater<>/UpperBound/After	1.737928	2.433511	+40.024	FAIL
Map/2/std::greater<>/UpperBound/Before	2.437750	3.133780	+28.552	FAIL
Map/2/std::greater<>/UpperBound/First	1.095638	0.871414	-20.465	PASS
Map/2/std::greater<>/UpperBound/Last	0.696191	0.695983	-0.030	PASS
Map/2/std::greater<>/UpperBound/MiddleHit	0.697217	1.045203	+49.911	FAIL
Map/2/std::greater<>/UpperBound/MiddleMiss	1.090675	0.697040	-36.091	PASS
Map/2/std::less<>/IndexOf/After	1.748795	1.740576	-0.470	PASS
Map/2/std::less<>/IndexOf/Before	2.087816	2.097832	+0.480	FAIL
Map/2/std::less<>/IndexOf/First	0.757256	0.723498	-4.458	PASS
Map/2/std::less<>/IndexOf/Last	1.046344	1.043836	-0.240	PASS
Map/2/std::less<>/IndexOf/MiddleHit	1.046199	0.762867	-27.082	PASS
Map/2/std::less<>/IndexOf/MiddleMiss	0.697929	0.699593	+0.238	FAIL
Map/2/std::less<>/LowerBound/After	1.742170	2.440092	+40.060	FAIL
Map/2/std::less<>/LowerBound/Before	2.440343	3.132622	+28.368	FAIL
Map/2/std::less<>/LowerBound/First	1.084568	0.709693	-34.564	PASS
Map/2/std::less<>/LowerBound/Last	1.117552	1.045355	-6.460	PASS
Map/2/std::less<>/LowerBound/MiddleHit	1.115830	1.045285	-6.322	PASS
Map/2/std::less<>/LowerBound/MiddleMiss	1.116342	1.043111	-6.560	PASS
Map/2/std::less<>/UpperBound/After	1.740570	2.789316	+60.253	FAIL
Map/2/std::less<>/UpperBound/Before	2.438181	3.134281	+28.550	FAIL
Map/2/std::less<>/UpperBound/First	1.057718	0.870892	-17.663	PASS
Map/2/std::less<>/UpperBound/Last	0.699131	1.046293	+49.656	FAIL
Map/2/std::less<>/UpperBound/MiddleHit	0.695844	1.045193	+50.205	FAIL
Map/2/std::less<>/UpperBound/MiddleMiss	1.093540	0.696305	-36.326	PASS
Map/32/mbo::types::CompareLess<int>/IndexOf/After	5.937581	5.913141	-0.412	PASS
Map/32/mbo::types::CompareLess<int>/IndexOf/Before	7.018840	6.964044	-0.781	PASS
Map/32/mbo::types::CompareLess<int>/IndexOf/First	3.861367	3.470679	-10.118	PASS
Map/32/mbo::types::CompareLess<int>/IndexOf/Last	3.162812	3.158988	-0.121	PASS
Map/32/mbo::types::CompareLess<int>/IndexOf/MiddleHit	3.158521	3.162301	+0.120	FAIL
Map/32/mbo::types::CompareLess<int>/IndexOf/MiddleMiss	3.158527	3.158781	+0.008	FAIL
Map/32/mbo::types::CompareLess<int>/LowerBound/After	4.777000	4.875072	+2.053	FAIL
Map/32/mbo::types::CompareLess<int>/LowerBound/Before	5.987518	5.566089	-7.038	PASS
Map/32/mbo::types::CompareLess<int>/LowerBound/First	3.099565	3.811638	+22.973	FAIL
Map/32/mbo::types::CompareLess<int>/LowerBound/Last	3.013658	2.944318	-2.301	PASS
Map/32/mbo::types::CompareLess<int>/LowerBound/MiddleHit	2.857786	2.837676	-0.704	PASS
Map/32/mbo::types::CompareLess<int>/LowerBound/MiddleMiss	3.112011	3.443385	+10.648	FAIL
Map/32/mbo::types::CompareLess<int>/UpperBound/After	5.241960	5.019294	-4.248	PASS
Map/32/mbo::types::CompareLess<int>/UpperBound/Before	5.965070	5.924354	-0.683	PASS
Map/32/mbo::types::CompareLess<int>/UpperBound/First	3.533522	3.531486	-0.058	PASS
Map/32/mbo::types::CompareLess<int>/UpperBound/Last	2.731024	2.815478	+3.092	FAIL
Map/32/mbo::types::CompareLess<int>/UpperBound/MiddleHit	2.834031	2.834351	+0.011	FAIL
Map/32/mbo::types::CompareLess<int>/UpperBound/MiddleMiss	3.099202	3.038529	-1.958	PASS
Map/32/std::greater<>/IndexOf/After	5.355438	5.923199	+10.602	FAIL
Map/32/std::greater<>/IndexOf/Before	6.972257	6.961327	-0.157	PASS
Map/32/std::greater<>/IndexOf/First	3.381921	3.379697	-0.066	PASS
Map/32/std::greater<>/IndexOf/Last	3.158315	3.165684	+0.233	FAIL
Map/32/std::greater<>/IndexOf/MiddleHit	3.164900	3.161534	-0.106	PASS
Map/32/std::greater<>/IndexOf/MiddleMiss	3.161664	3.159795	-0.059	PASS
Map/32/std::greater<>/LowerBound/After	4.890698	5.112747	+4.540	FAIL
Map/32/std::greater<>/LowerBound/Before	5.943900	5.926087	-0.300	PASS
Map/32/std::greater<>/LowerBound/First	3.183056	3.517851	+10.518	FAIL
Map/32/std::greater<>/LowerBound/Last	2.844972	3.446275	+21.136	FAIL
Map/32/std::greater<>/LowerBound/MiddleHit	3.188266	2.832688	-11.153	PASS
Map/32/std::greater<>/LowerBound/MiddleMiss	2.838974	2.979391	+4.946	FAIL
Map/32/std::greater<>/UpperBound/After	4.695451	5.216194	+11.090	FAIL
Map/32/std::greater<>/UpperBound/Before	6.262120	6.271726	+0.153	FAIL
Map/32/std::greater<>/UpperBound/First	3.536885	3.535505	-0.039	PASS
Map/32/std::greater<>/UpperBound/Last	2.632312	3.180882	+20.840	FAIL
Map/32/std::greater<>/UpperBound/MiddleHit	2.833704	3.048687	+7.587	FAIL
Map/32/std::greater<>/UpperBound/MiddleMiss	2.842646	2.900545	+2.037	FAIL
Map/32/std::less<>/IndexOf/After	5.966882	5.661751	-5.114	PASS
Map/32/std::less<>/IndexOf/Before	6.965686	7.097461	+1.892	FAIL
Map/32/std::less<>/IndexOf/First	3.797637	4.506820	+18.674	FAIL
Map/32/std::less<>/IndexOf/Last	3.456012	3.237562	-6.321	PASS
Map/32/std::less<>/IndexOf/MiddleHit	3.617686	3.153467	-12.832	PASS
Map/32/std::less<>/IndexOf/MiddleMiss	3.162891	3.158462	-0.140	PASS
Map/32/std::less<>/LowerBound/After	5.243651	5.285343	+0.795	FAIL
Map/32/std::less<>/LowerBound/Before	5.592429	5.923534	+5.921	FAIL
Map/32/std::less<>/LowerBound/First	3.075199	3.599398	+17.046	FAIL
Map/32/std::less<>/LowerBound/Last	2.996240	2.896093	-3.342	PASS
Map/32/std::less<>/LowerBound/MiddleHit	2.859646	2.835968	-0.828	PASS
Map/32/std::less<>/LowerBound/MiddleMiss	2.832084	2.843010	+0.386	FAIL
Map/32/std::less<>/UpperBound/After	5.297134	4.592471	-13.303	PASS
Map/32/std::less<>/UpperBound/Before	5.937460	5.920385	-0.288	PASS
Map/32/std::less<>/UpperBound/First	3.543000	3.540516	-0.070	PASS
Map/32/std::less<>/UpperBound/Last	2.794707	2.838403	+1.564	FAIL
Map/32/std::less<>/UpperBound/MiddleHit	2.832232	2.829570	-0.094	PASS
Map/32/std::less<>/UpperBound/MiddleMiss	3.238135	2.838053	-12.355	PASS
Map/4/mbo::types::CompareLess<int>/IndexOf/After	2.088113	2.093992	+0.282	FAIL
Map/4/mbo::types::CompareLess<int>/IndexOf/Before	3.481691	3.487176	+0.158	FAIL
Map/4/mbo::types::CompareLess<int>/IndexOf/First	1.045622	1.046466	+0.081	FAIL
Map/4/mbo::types::CompareLess<int>/IndexOf/Last	0.696099	0.697321	+0.176	FAIL
Map/4/mbo::types::CompareLess<int>/IndexOf/MiddleHit	1.392000	1.394653	+0.191	FAIL
Map/4/mbo::types::CompareLess<int>/IndexOf/MiddleMiss	1.394133	1.046039	-24.968	PASS
Map/4/mbo::types::CompareLess<int>/LowerBound/After	2.437509	2.094702	-14.064	PASS
Map/4/mbo::types::CompareLess<int>/LowerBound/Before	3.135963	4.189606	+33.599	FAIL
Map/4/mbo::types::CompareLess<int>/LowerBound/First	1.599789	1.395889	-12.745	PASS
Map/4/mbo::types::CompareLess<int>/LowerBound/Last	1.114447	1.045683	-6.170	PASS
