benchmark	baseline_best3_ns	candidate_best3_ns	delta_percent	verdict
Set/8/std::greater<>/UpperBound/MiddleMiss	1.601148	2.094103	+30.788	FAIL
Set/8/std::less<>/IndexOf/After	1.051349	1.047251	-0.390	PASS
Set/8/std::less<>/IndexOf/Before	1.744162	1.757043	+0.739	FAIL
Set/8/std::less<>/IndexOf/First	1.741719	1.739662	-0.118	PASS
Set/8/std::less<>/IndexOf/Last	1.049560	1.043489	-0.578	PASS
Set/8/std::less<>/IndexOf/MiddleHit	1.745249	2.085253	+19.482	FAIL
Set/8/std::less<>/IndexOf/MiddleMiss	1.729430	1.391059	-19.565	PASS
Set/8/std::less<>/LowerBound/After	3.134269	2.092753	-33.230	PASS
Set/8/std::less<>/LowerBound/Before	3.833414	4.536513	+18.341	FAIL
Set/8/std::less<>/LowerBound/First	2.198787	4.177904	+90.009	FAIL
Set/8/std::less<>/LowerBound/Last	1.622736	1.743977	+7.471	FAIL
Set/8/std::less<>/LowerBound/MiddleHit	1.626278	2.785880	+71.304	FAIL
Set/8/std::less<>/LowerBound/MiddleMiss	1.612299	2.782119	+72.556	FAIL
Set/8/std::less<>/UpperBound/After	3.720992	2.090507	-43.819	PASS
Set/8/std::less<>/UpperBound/Before	3.836015	2.802112	-26.953	PASS
Set/8/std::less<>/UpperBound/First	2.191538	2.460763	+12.285	FAIL
Set/8/std::less<>/UpperBound/Last	1.588007	1.740060	+9.575	FAIL
Set/8/std::less<>/UpperBound/MiddleHit	1.623453	2.094303	+29.003	FAIL
Set/8/std::less<>/UpperBound/MiddleMiss	1.609690	2.151300	+33.647	FAIL
